tid,gender,tDept,Enroll,Evals Made,Eval/Enroll,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received,rEasy,rHelpful,rInterest,rOverall,rWouldTakeAgain,rmp Grade,sentimentValue,teacherRatingTags,rmp Evals/Enroll,rmp Evals
84665,1.0,CHEM,567,237,0.41798941798941797,0.7997130801687764,0.7808185654008439,4.973881856540085,3.362911392405063,2.741336206896552,2.9210526315789473,2.0526315789473686,3.1176470588235294,2.039473684210526,,,-0.06546168926103137,,0.06701940035273368,38.0
87151,1.0,CSE,3294,1360,0.41287188828172433,0.779895588235294,0.6147661764705878,7.636485294117648,3.4000465838509317,3.042370766488414,3.375,3.0,2.7857142857142856,2.75,0.5,4.0,0.1225868150946276,"Respected,Amazing lectures,",0.004857316332726169,16.0
88598,-1.0,PHIL,1455,708,0.4865979381443299,0.7913135593220338,0.813391242937853,5.419675141242937,3.2287429378531076,2.9203177257525086,3.3225806451612905,3.4516129032258065,3.4166666666666665,3.2580645161290325,1.0,3.7,0.0799724025974026,"""Skip class? You won t pass."",Clear grading criteria,Lecture heavy,Lots of homework,Get ready to read,Gives good feedback,Caring,",0.021305841924398626,31.0
90057,1.0,CHEM,7,4,0.5714285714285714,0.75,0.5,4.5,3.75,,2.238095238095238,1.8571428571428572,2.176470588235294,1.8095238095238095,,3.5,-0.017495307382212142,,3.0,21.0
94841,1.0,HUM,3015,1659,0.5502487562189055,0.8069125979505727,0.8926100060277278,4.774189270644968,3.219399999999999,3.032706449668475,2.7045454545454546,4.318181818181818,3.84375,4.375,0.75,3.3333333333333335,0.28099542161331936,"Accessible outside class,Hilarious,Graded by few things,Get ready to read,Inspirational,Lecture heavy,Respected,",0.014593698175787729,44.0
95217,1.0,SE,1549,724,0.46739832149774047,0.7916270718232045,0.943495856353591,10.007058011049722,3.1691712707182322,2.9041298342541437,3.7777777777777777,4.222222222222222,4.0476190476190474,4.148148148148148,1.0,3.9,0.21714519470339577,"""Skip class? You won t pass."",Amazing lectures,Hilarious,Inspirational,Respected,Tough grader,Lots of homework,Participation matters,Caring,",0.017430600387346677,27.0
95465,1.0,SOCI,516,294,0.5697674418604651,0.9652108843537415,0.9790884353741496,3.7906802721088435,3.53047619047619,3.3021088435374155,2.761904761904762,4.333333333333333,4.0,4.476190476190476,,,0.2525778024885168,,0.040697674418604654,21.0
96066,1.0,MATH,13,5,0.38461538461538464,0.8,0.8,7.7,3.4,,3.0606060606060606,2.6363636363636362,2.857142857142857,2.409090909090909,,,0.01554880998630998,,2.5384615384615383,33.0
96464,1.0,MATH,567,225,0.3968253968253968,0.77104,0.36780444444444443,6.399777777777778,3.1360888888888887,2.778888888888889,3.5849056603773586,2.0377358490566038,2.6458333333333335,1.971698113207547,,2.7,0.003813444068161044,,0.09347442680776014,53.0
96466,1.0,CHEM,1111,659,0.5931593159315932,0.5096585735963581,0.3391289833080425,8.159757207890744,3.230637329286798,3.387408536585366,4.045454545454546,2.909090909090909,3.4411764705882355,2.6363636363636362,0.0,4.0,0.07782136928727838,"Lots of homework,Get ready to read,Graded by few things,",0.039603960396039604,44.0
97499,-1.0,HDP,3946,2405,0.609477952356817,0.9651862785862786,0.9809671517671517,2.674565488565489,3.689700623700624,3.448400809716599,1.8793103448275863,4.482758620689655,4.229166666666667,4.568965517241379,,4.0,0.3002294042050816,"Gives good feedback,Hilarious,Respected,",0.01469842878864673,58.0
101822,1.0,CHEM,175,137,0.7828571428571428,0.6124160583941605,0.8045839416058393,11.745328467153284,3.1557664233576643,,3.7524752475247523,2.6633663366336635,2.7972972972972974,2.712871287128713,,2.8000000000000003,-0.04485979003748612,,0.5828571428571429,102.0
102350,-1.0,VIS,2055,1020,0.49635036496350365,0.6909009803921571,0.48102745098039223,5.27057843137255,3.3393921568627456,3.2043227326266193,3.159090909090909,2.1363636363636362,3.1666666666666665,1.8409090909090908,0.0,3.7,0.004107096028971028,"Tough grader,Gives good feedback,""Skip class? You won t pass."",",0.02141119221411192,44.0
